team,group,elo,dc_attack,dc_defence,exp_group_points,p_win_group,p_group_2nd,p_group_3rd,p_group_4th,p_reach_r32,p_reach_r16,p_reach_qf,p_reach_sf,p_reach_final,p_champion
Austria,J,1890.096268851843,0.5310022466443759,0.646577779298098,3.638135,0.117505,0.30042,0.34327,0.238805,0.64462,0.24719,0.113265,0.045765,0.017495,0.00588
Ivory Coast,E,1815.6267344214916,0.42303955103535534,0.7200675286621008,3.921595,0.15767,0.2669,0.402835,0.172595,0.708345,0.28352,0.10483,0.037295,0.011985,0.00393
Egypt,G,1810.8492101750423,0.29566615360269344,0.7257892991757379,3.678295,0.168255,0.250465,0.306365,0.274915,0.631515,0.26751,0.09358,0.029205,0.00951,0.002865
Scotland,C,1844.3259795559318,0.4919309455800118,0.3976747402485445,3.22908,0.099335,0.209085,0.387675,0.303905,0.56069,0.19742,0.07551,0.024835,0.007415,0.002115
Uzbekistan,K,1820.6806587903366,0.2592803286212962,0.6167335605946724,2.89785,0.086475,0.183175,0.329085,0.401265,0.472385,0.1784,0.05521,0.01871,0.0057,0.001525
DR Congo,K,1763.8414035561625,0.1862399204230019,0.7764958076546168,2.77356,0.07719,0.17141,0.32451,0.42689,0.44694,0.16311,0.04879,0.015575,0.00447,0.001245
Panama,L,1854.3175766669667,0.42980052798053614,0.22303446167428423,3.411615,0.10552,0.240675,0.38996,0.263845,0.600125,0.19078,0.056055,0.017065,0.00482,0.001215
Czech Republic,A,1802.0653715071512,0.4530157252891658,0.2707032141158732,3.334235,0.10511,0.248165,0.346295,0.30043,0.57441,0.2296,0.07218,0.018395,0.004795,0.001095
Tunisia,F,1738.5937106773843,0.27019880216823755,0.5029250636984586,2.71299,0.067265,0.163335,0.344435,0.424965,0.44093,0.113795,0.03513,0.00988,0.00246,0.00053
New Zealand,G,1731.9302578453717,0.43670543413978286,0.32569203726601503,2.78387,0.094045,0.168755,0.274045,0.463155,0.44143,0.14345,0.037615,0.00867,0.00211,0.000525
Sweden,F,1770.6729862790423,0.5475481668120674,0.1391259961320378,2.67271,0.06728,0.15728,0.335625,0.439815,0.42766,0.104945,0.031485,0.00856,0.002045,0.00046
Jordan,J,1775.6233711911445,0.5011749040154472,0.20875769683445763,2.223035,0.038475,0.13776,0.271985,0.55178,0.329625,0.08464,0.02675,0.006815,0.001675,0.00034
Iraq,I,1738.2386860078973,0.1378661184744294,0.52270014474744,2.093105,0.041475,0.108805,0.24215,0.60757,0.294735,0.088005,0.025,0.006165,0.00157,0.00033
Saudi Arabia,H,1693.2420584060242,0.15676172000436417,0.43578404317808606,2.54129,0.03046,0.16642,0.409795,0.393325,0.409905,0.08941,0.024205,0.005325,0.001095,0.000195
South Africa,A,1663.693296576489,0.20252512110484425,0.39541076330281,2.40388,0.04841,0.14994,0.29295,0.5087,0.368725,0.11303,0.0269,0.005065,0.000895,0.000175
Haiti,C,1707.4577830515636,0.4954254670299322,0.20632512524776545,2.12389,0.038505,0.108575,0.279225,0.573695,0.308155,0.075955,0.02114,0.00481,0.00095,0.000155
Bosnia and Herzegovina,B,1651.7647178145994,0.09374797407136118,0.21591373620649193,2.620735,0.040515,0.13944,0.45158,0.368465,0.4309,0.10658,0.022235,0.003065,0.000525,5e-05
Cape Verde,H,1654.0594812022953,0.16361240161901255,0.23666901176572772,2.090865,0.01894,0.118285,0.341345,0.52143,0.29881,0.053215,0.011905,0.00216,0.000385,3.5e-05
Ghana,L,1625.7567809424481,0.2091129233441082,0.2933588797228135,1.968,0.02844,0.101005,0.264835,0.60572,0.275835,0.052745,0.0098,0.001795,0.00034,3.5e-05
Curaçao,E,1605.9826192180217,0.19834955253001763,0.10951355903361147,1.580635,0.02023,0.063365,0.19799,0.718415,0.19019,0.03266,0.00538,0.000775,0.00012,2e-05
Qatar,B,1566.2872539740922,0.15389795552410204,-0.006848510601438898,1.907965,0.019715,0.08057,0.326335,0.57338,0.25895,0.046745,0.007,0.000705,6.5e-05,0.0
